Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","682","Arabie saoudite","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","31463.78","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","682","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","148.51","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","682","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","15.2","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","032","Argentine","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","2219238.25","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","032","Argentine","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","5418.11","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","032","Argentine","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","179460.36","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","032","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","194.22","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","032","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","14.35","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","051","Arménie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","12300","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","051","Arménie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","32183.53","A","Chiffre officiel"
